!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:17:44 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +9.98658159537e+004, +2.18384072111e-002
+2.16230000000e+001, +9.98660267176e+004, +5.42950643026e-003
+2.33780000000e+001, +9.98869957345e+004, +5.83903371195e-003
+2.52760000000e+001, +9.98729580999e+004, +8.97505393537e-003
+2.73270000000e+001, +9.98775342147e+004, +1.11821743560e-002
+2.95450000000e+001, +9.98772373049e+004, +1.07871837786e-002
+3.19430000000e+001, +9.98516749654e+004, +6.51314166948e-003
+3.45350000000e+001, +9.98686264601e+004, +4.14298745957e-003
+3.73380000000e+001, +9.98646662309e+004, +1.28715411896e-002
+4.03690000000e+001, +9.98656913763e+004, +5.70053930933e-003
+4.36450000000e+001, +9.98555747604e+004, +8.48111595855e-003
+4.71880000000e+001, +9.98628789793e+004, +1.07215787605e-002
+5.10170000000e+001, +9.98632589671e+004, +4.64490017244e-003
+5.51580000000e+001, +9.98626501499e+004, +4.97594165320e-003
+5.96350000000e+001, +9.98588909156e+004, +7.03922359969e-003
+6.44750000000e+001, +9.98566208417e+004, +1.43728417924e-003
+6.97080000000e+001, +9.98600572270e+004, +3.26700512702e-003
+7.53660000000e+001, +9.98678951852e+004, +5.64301993520e-003
+8.14820000000e+001, +9.98698716703e+004, +7.02723600682e-003
+8.80960000000e+001, +9.98681412484e+004, +4.19488363788e-003
+9.52460000000e+001, +9.98646931738e+004, +7.00934186613e-003
+1.02976000000e+002, +9.98675649149e+004, +6.41951329704e-004
+1.11334000000e+002, +9.98682794817e+004, +3.28265208912e-003
+1.20370000000e+002, +9.98716879138e+004, +1.10452292424e-003
+1.30139000000e+002, +9.98693801407e+004, +1.01371159356e-003
+1.40702000000e+002, +9.98736613577e+004, +2.71374424683e-004
+1.52121000000e+002, +9.98792357071e+004, +6.67966188062e-003
+1.64468000000e+002, +9.98654066077e+004, +1.00024397668e-003
+1.77816000000e+002, +9.98731086491e+004, +2.76451139702e-003
+1.92248000000e+002, +9.98698423532e+004, +4.65572108656e-003
+2.07851000000e+002, +9.98637608492e+004, +6.52380421528e-004
+2.24721000000e+002, +9.98709744694e+004, -5.18490771410e-004
+2.42960000000e+002, +9.98658891518e+004, +3.10370438107e-003
+2.62679000000e+002, +9.98715377530e+004, -4.22119582120e-004
+2.83998000000e+002, +9.98647795810e+004, -2.20302928165e-005
+3.07048000000e+002, +9.98623946505e+004, +3.39838769545e-004
+3.31969000000e+002, +9.98650535078e+004, +9.49879527376e-004
+3.58912000000e+002, +9.98629740743e+004, -2.02411291132e-003
+3.88042000000e+002, +9.98604805590e+004, -1.64196726046e-003
+4.19536000000e+002, +9.98701156329e+004, -1.77617868653e-004
+4.53587000000e+002, +9.98649457256e+004, -7.80502300293e-004
+4.90401000000e+002, +9.98566167633e+004, -1.20550127524e-003
+5.30202000000e+002, +9.98622950642e+004, -2.72966626133e-003
+5.73235000000e+002, +9.98657585184e+004, -1.09559357167e-002
+6.19760000000e+002, +9.98617953670e+004, -4.40867382224e-003
+6.70061000000e+002, +9.98543211737e+004, -8.30603438227e-003
+7.24444000000e+002, +9.98520467438e+004, -8.88900280913e-003
+7.83241000000e+002, +9.98605132117e+004, -1.11145412979e-002
+8.46811000000e+002, +9.98500236257e+004, -9.16555753120e-003
+9.15539000000e+002, +9.98566621991e+004, -1.46073725412e-002
+9.89846000000e+002, +9.98490527544e+004, -1.31840418465e-002
+1.07018400000e+003, +9.98624063984e+004, -1.53434158811e-002
+1.15704300000e+003, +9.98599134162e+004, -2.25729689335e-002
+1.25095000000e+003, +9.98654232314e+004, -1.90129806362e-002
+1.35248000000e+003, +9.98562981008e+004, -2.25466070409e-002
+1.46225000000e+003, +9.98706148269e+004, -1.86148687779e-002
+1.58092900000e+003, +9.98716488741e+004, -2.00987289728e-002
+1.70924000000e+003, +9.98560825144e+004, -2.85611483879e-002
+1.84796500000e+003, +9.98638515329e+004, -3.24557238912e-002
+1.99795000000e+003, +9.98664590590e+004, -3.94970904099e-002
+2.16010800000e+003, +9.98598466317e+004, -3.64779591173e-002
+2.33542600000e+003, +9.98549904366e+004, -4.00708681860e-002
+2.52497400000e+003, +9.98589002420e+004, -4.17133285568e-002
+2.72990600000e+003, +9.98551296809e+004, -5.13121269844e-002
+2.95147000000e+003, +9.98577664115e+004, -4.68332874504e-002
+3.19101700000e+003, +9.98632360735e+004, -5.57605250036e-002
+3.45000600000e+003, +9.98709835773e+004, -6.12820388359e-002
+3.73001600000e+003, +9.98521744506e+004, -6.77191452398e-002
+4.03275100000e+003, +9.98731983643e+004, -6.35596153321e-002
+4.36005700000e+003, +9.98491184973e+004, -7.69972160410e-002
+4.71392800000e+003, +9.98700926999e+004, -8.86565312511e-002
+5.09651900000e+003, +9.98641295924e+004, -9.44772761659e-002
+5.51016300000e+003, +9.98740518025e+004, -1.07253905231e-001
+5.95737900000e+003, +9.98874963573e+004, -1.12833786896e-001
+6.44089100000e+003, +9.98392617233e+004, -1.14715553839e-001
+6.96364600000e+003, +9.98631319434e+004, -1.38312632173e-001
+7.52883000000e+003, +9.98576593660e+004, -1.49300415879e-001
+8.13988400000e+003, +9.98480937440e+004, -1.66141809211e-001
+8.80053300000e+003, +9.98672655359e+004, -1.75922725136e-001
+9.51480200000e+003, +9.98706220358e+004, -1.96326044503e-001
+1.02870420000e+004, +9.98546533416e+004, -2.12173639315e-001
+1.11219580000e+004, +9.98626739610e+004, -2.21562317854e-001
+1.20246380000e+004, +9.98666496643e+004, -2.39881380762e-001
+1.30005810000e+004, +9.98530918832e+004, -2.52516861831e-001
+1.40557340000e+004, +9.98495512250e+004, -2.72410741922e-001
+1.51965250000e+004, +9.98627460617e+004, -2.93903623218e-001
+1.64299040000e+004, +9.98464343407e+004, -3.30506904597e-001
+1.77633870000e+004, +9.98452110730e+004, -3.56195324350e-001
+1.92050990000e+004, +9.98528040250e+004, -3.72161500049e-001
+2.07638220000e+004, +9.98438395067e+004, -4.13284109126e-001
+2.24490550000e+004, +9.98590035138e+004, -4.38055021284e-001
+2.42710640000e+004, +9.98194856084e+004, -4.78791501251e-001
+2.62409510000e+004, +9.98300050498e+004, -5.23710431986e-001
+2.83707180000e+004, +9.98383159244e+004, -5.66640437134e-001
+3.06733410000e+004, +9.98194331405e+004, -6.07450869333e-001
+3.31628490000e+004, +9.98256615388e+004, -6.53599447071e-001
+3.58544110000e+004, +9.98278434213e+004, -6.97082786203e-001
+3.87644260000e+004, +9.98258450541e+004, -7.54818532824e-001
+4.19106220000e+004, +9.98228640648e+004, -8.11318005265e-001
+4.53121700000e+004, +9.98210003469e+004, -8.78695633212e-001
+4.89897950000e+004, +9.98364712480e+004, -9.40027267484e-001
+5.29659030000e+004, +9.98240841888e+004, -1.02463723823e+000
+5.72647190000e+004, +9.98089664202e+004, -1.11032494020e+000
+6.19124360000e+004, +9.98029631097e+004, -1.20584348107e+000
+6.69373700000e+004, +9.97779189573e+004, -1.30008287120e+000
+7.23701380000e+004, +9.97857934740e+004, -1.40807407048e+000
+7.82438400000e+004, +9.97779356083e+004, -1.51710437772e+000
+8.45942640000e+004, +9.98074045551e+004, -1.63418330977e+000
+9.14601000000e+004, +9.97511010322e+004, -1.77100462022e+000
+9.88831810000e+004, +9.97513181377e+004, -1.91866589646e+000
+1.06908733000e+005, +9.97269822817e+004, -2.05985896980e+000
+1.15585655000e+005, +9.97140277089e+004, -2.23609693371e+000
+1.24966813000e+005, +9.97034941574e+004, -2.41509290685e+000
+1.35109365000e+005, +9.96839399915e+004, -2.59785564662e+000
+1.46075105000e+005, +9.96308787823e+004, -2.82226621899e+000
+1.57930847000e+005, +9.96285875696e+004, -3.04353957721e+000
