!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:11:33 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +5.00010839758e+001, +1.76941624064e-002
+2.16230000000e+001, +5.00015197898e+001, +1.67364273460e-002
+2.33780000000e+001, +5.00016066637e+001, +1.61326576329e-002
+2.52760000000e+001, +5.00019167632e+001, +1.66919748749e-002
+2.73270000000e+001, +5.00025207504e+001, +1.66365604719e-002
+2.95450000000e+001, +5.00029356675e+001, +1.62225535324e-002
+3.19430000000e+001, +5.00018425820e+001, +1.46647382991e-002
+3.45350000000e+001, +5.00023533060e+001, +1.42519141393e-002
+3.73380000000e+001, +5.00031095564e+001, +1.32780178543e-002
+4.03690000000e+001, +5.00020240651e+001, +1.33419309471e-002
+4.36450000000e+001, +5.00034006616e+001, +1.30782218176e-002
+4.71880000000e+001, +5.00031785362e+001, +1.41830309822e-002
+5.10170000000e+001, +5.00019059412e+001, +1.33808407555e-002
+5.51580000000e+001, +5.00024166094e+001, +1.22287102975e-002
+5.96350000000e+001, +5.00032794602e+001, +1.23095935556e-002
+6.44750000000e+001, +5.00031401597e+001, +1.14332221219e-002
+6.97080000000e+001, +5.00035942618e+001, +1.13879739280e-002
+7.53660000000e+001, +5.00034056788e+001, +1.11458340834e-002
+8.14820000000e+001, +5.00042549509e+001, +1.18942127154e-002
+8.80960000000e+001, +5.00037769798e+001, +1.06118784433e-002
+9.52460000000e+001, +5.00042302848e+001, +1.24613113359e-002
+1.02976000000e+002, +5.00049043692e+001, +8.69781213682e-003
+1.11334000000e+002, +5.00034909045e+001, +7.52782772363e-003
+1.20370000000e+002, +5.00033381795e+001, +1.02511920414e-002
+1.30139000000e+002, +5.00039844099e+001, +6.09513877705e-003
+1.40702000000e+002, +5.00041298407e+001, +6.83339494218e-003
+1.52121000000e+002, +5.00039746145e+001, +9.13522235969e-003
+1.64468000000e+002, +5.00040715894e+001, +5.84102110490e-003
+1.77816000000e+002, +5.00042914451e+001, +7.39128494358e-003
+1.92248000000e+002, +5.00040348745e+001, +9.85154441356e-003
+2.07851000000e+002, +5.00035336417e+001, +8.26816293544e-003
+2.24721000000e+002, +5.00032567466e+001, +9.29266536668e-003
+2.42960000000e+002, +5.00040252093e+001, +7.37172617673e-003
+2.62679000000e+002, +5.00030575718e+001, +8.07960709529e-003
+2.83998000000e+002, +5.00035531507e+001, +8.68730970066e-003
+3.07048000000e+002, +5.00040004821e+001, +7.02963041005e-003
+3.31969000000e+002, +5.00031735523e+001, +7.88041276756e-003
+3.58912000000e+002, +5.00037955003e+001, +8.64494956551e-003
+3.88042000000e+002, +5.00041701306e+001, +8.05345458044e-003
+4.19536000000e+002, +5.00038199379e+001, +8.80179023099e-003
+4.53587000000e+002, +5.00029833727e+001, +8.38815556022e-003
+4.90401000000e+002, +5.00041999552e+001, +8.21580857417e-003
+5.30202000000e+002, +5.00033310209e+001, +9.51253026982e-003
+5.73235000000e+002, +5.00031765780e+001, +7.88504127541e-003
+6.19760000000e+002, +5.00033514816e+001, +8.04813626098e-003
+6.70061000000e+002, +5.00037477183e+001, +8.22832266806e-003
+7.24444000000e+002, +5.00036697564e+001, +9.23085019874e-003
+7.83241000000e+002, +5.00039131494e+001, +8.59711372779e-003
+8.46811000000e+002, +5.00027480858e+001, +8.20190097110e-003
+9.15539000000e+002, +5.00030909944e+001, +8.65663618830e-003
+9.89846000000e+002, +5.00039460901e+001, +8.35331794178e-003
+1.07018400000e+003, +5.00025448993e+001, +9.32181076013e-003
+1.15704300000e+003, +5.00032840375e+001, +8.60308872299e-003
+1.25095000000e+003, +5.00032837939e+001, +9.49223655072e-003
+1.35248000000e+003, +5.00037655501e+001, +7.91250360762e-003
+1.46225000000e+003, +5.00031772844e+001, +7.67146355192e-003
+1.58092900000e+003, +5.00027071203e+001, +1.01708093898e-002
+1.70924000000e+003, +5.00034571709e+001, +1.00117001935e-002
+1.84796500000e+003, +5.00044384589e+001, +8.61157910888e-003
+1.99795000000e+003, +5.00029265560e+001, +9.81278730338e-003
+2.16010800000e+003, +5.00030016769e+001, +9.28132308508e-003
+2.33542600000e+003, +5.00036429111e+001, +7.96858276188e-003
+2.52497400000e+003, +5.00020969867e+001, +7.30696050392e-003
+2.72990600000e+003, +5.00046894743e+001, +7.47349789728e-003
+2.95147000000e+003, +5.00033955841e+001, +9.30719144094e-003
+3.19101700000e+003, +5.00035463994e+001, +9.39520340228e-003
+3.45000600000e+003, +5.00039945885e+001, +9.68800081575e-003
+3.73001600000e+003, +5.00042492479e+001, +1.03907570367e-002
+4.03275100000e+003, +5.00038019971e+001, +1.05402674912e-002
+4.36005700000e+003, +5.00023472636e+001, +9.16103737935e-003
+4.71392800000e+003, +5.00014137298e+001, +7.94085651947e-003
+5.09651900000e+003, +5.00035350241e+001, +8.19337733340e-003
+5.51016300000e+003, +5.00033098255e+001, +5.37286584933e-003
+5.95737900000e+003, +5.00024633343e+001, +6.80420812860e-003
+6.44089100000e+003, +5.00044512889e+001, +6.12576648713e-003
+6.96364600000e+003, +5.00045274020e+001, +1.02901273079e-002
+7.52883000000e+003, +5.00015660456e+001, +8.03630793340e-003
+8.13988400000e+003, +5.00035248852e+001, +7.37634971614e-003
+8.80053300000e+003, +5.00017457376e+001, +9.55523621348e-003
+9.51480200000e+003, +5.00024130120e+001, +1.10564517104e-002
+1.02870420000e+004, +5.00008295570e+001, +7.42937798683e-003
+1.11219580000e+004, +5.00022641129e+001, +9.19742247796e-003
+1.20246380000e+004, +5.00041151707e+001, +8.45577490600e-003
+1.30005810000e+004, +5.00039870310e+001, +7.23208650368e-003
+1.40557340000e+004, +5.00028267659e+001, +6.28119913985e-003
+1.51965250000e+004, +5.00036444385e+001, +6.38429356264e-003
+1.64299040000e+004, +5.00043922448e+001, +7.07282893601e-003
+1.77633870000e+004, +5.00041793018e+001, +1.06558642422e-002
+1.92050990000e+004, +5.00050277202e+001, +9.30746861601e-003
+2.07638220000e+004, +5.00051404395e+001, +9.44682677727e-003
+2.24490550000e+004, +5.00032508982e+001, +8.01671153177e-003
+2.42710640000e+004, +5.00053618378e+001, +8.75310855832e-003
+2.62409510000e+004, +5.00054479491e+001, +9.26743928008e-003
+2.83707180000e+004, +5.00027995316e+001, +1.00294100033e-002
+3.06733410000e+004, +5.00025947327e+001, +8.55660188376e-003
+3.31628490000e+004, +5.00043799288e+001, +6.87857668041e-003
+3.58544110000e+004, +5.00061699186e+001, +7.83118115534e-003
+3.87644260000e+004, +5.00048005773e+001, +6.50594555794e-003
+4.19106220000e+004, +5.00060313241e+001, +7.37103127819e-003
+4.53121700000e+004, +5.00034084868e+001, +9.97023326556e-003
+4.89897950000e+004, +5.00021508392e+001, +1.04275876447e-002
+5.29659030000e+004, +5.00058711237e+001, +7.53370963458e-003
+5.72647190000e+004, +5.00046616217e+001, +8.39781090083e-003
+6.19124360000e+004, +5.00007398774e+001, +9.43696546504e-003
+6.69373700000e+004, +5.00012124229e+001, +8.77162298316e-003
+7.23701380000e+004, +5.00033089245e+001, +8.89009064831e-003
+7.82438400000e+004, +5.00035937416e+001, +9.85162898530e-003
+8.45942640000e+004, +5.00035035102e+001, +9.98059699867e-003
+9.14601000000e+004, +5.00034823319e+001, +7.99321684525e-003
+9.88831810000e+004, +5.00046728631e+001, +9.28763220160e-003
+1.06908733000e+005, +5.00019080310e+001, +7.05033580410e-003
