!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:40 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +6.52159360979e+001, +1.27461765092e-001
+2.16230000000e+001, +6.48332855830e+001, +1.24524784948e-001
+2.33780000000e+001, +6.61408191313e+001, +1.25911697810e-001
+2.52760000000e+001, +6.51376923373e+001, +1.30455825279e-001
+2.73270000000e+001, +6.49565630515e+001, +1.31663714174e-001
+2.95450000000e+001, +6.47102833123e+001, +1.36914550225e-001
+3.19430000000e+001, +6.48071629982e+001, +1.41282437064e-001
+3.45350000000e+001, +6.47667003486e+001, +1.42564397938e-001
+3.73380000000e+001, +6.47652062232e+001, +1.48029370416e-001
+4.03690000000e+001, +6.46785729482e+001, +1.50197008354e-001
+4.36450000000e+001, +6.45793129434e+001, +1.56740456325e-001
+4.71880000000e+001, +6.60201373040e+001, +1.59833381943e-001
+5.10170000000e+001, +6.50628302608e+001, +1.63416384702e-001
+5.51580000000e+001, +6.47336824368e+001, +1.73245279604e-001
+5.96350000000e+001, +6.47363071175e+001, +1.77801930282e-001
+6.44750000000e+001, +6.46016280859e+001, +1.83434672632e-001
+6.97080000000e+001, +6.46615376134e+001, +1.92333597041e-001
+7.53660000000e+001, +6.45913536947e+001, +1.98869529310e-001
+8.14820000000e+001, +6.46609392472e+001, +2.10273508396e-001
+8.80960000000e+001, +6.46266681630e+001, +2.18773554987e-001
+9.52460000000e+001, +6.58251157798e+001, +2.28358340081e-001
+1.02976000000e+002, +6.52567504829e+001, +2.32601198549e-001
+1.11334000000e+002, +6.50774713834e+001, +2.45762400088e-001
+1.20370000000e+002, +6.49696383908e+001, +2.62328940377e-001
+1.30139000000e+002, +6.48272356954e+001, +2.69984897678e-001
+1.40702000000e+002, +6.48270284513e+001, +2.88119827414e-001
+1.52121000000e+002, +6.48198904649e+001, +3.06855357505e-001
+1.64468000000e+002, +6.48132582085e+001, +3.20325557860e-001
+1.77816000000e+002, +6.47248871497e+001, +3.41002222823e-001
+1.92248000000e+002, +6.55289429104e+001, +3.64574625994e-001
+2.07851000000e+002, +6.53164495707e+001, +3.84401944536e-001
+2.24721000000e+002, +6.51883756966e+001, +4.08192710941e-001
+2.42960000000e+002, +6.50372630949e+001, +4.35739256220e-001
+2.62679000000e+002, +6.49905782052e+001, +4.61025339327e-001
+2.83998000000e+002, +6.48953399847e+001, +4.95981003827e-001
+3.07048000000e+002, +6.48123237740e+001, +5.25391565324e-001
+3.31969000000e+002, +6.47540276881e+001, +5.60543914195e-001
+3.58912000000e+002, +6.52530905485e+001, +5.97172237388e-001
+3.88042000000e+002, +6.51283818274e+001, +6.36539456975e-001
+4.19536000000e+002, +6.50616780169e+001, +6.80367415855e-001
+4.53587000000e+002, +6.50137865444e+001, +7.25325173751e-001
+4.90401000000e+002, +6.49640248951e+001, +7.73816159695e-001
+5.30202000000e+002, +6.49328154761e+001, +8.23406898686e-001
+5.73235000000e+002, +6.48901650415e+001, +8.77738507636e-001
+6.19760000000e+002, +6.49042289076e+001, +9.35242399988e-001
+6.70061000000e+002, +6.48834299845e+001, +9.94562396622e-001
+7.24444000000e+002, +6.52054727039e+001, +1.05324234019e+000
+7.83241000000e+002, +6.51765780869e+001, +1.11625914930e+000
+8.46811000000e+002, +6.51714102701e+001, +1.17978383240e+000
+9.15539000000e+002, +6.51658285373e+001, +1.24485327444e+000
+9.89846000000e+002, +6.51807383786e+001, +1.31156161500e+000
+1.07018400000e+003, +6.51768309343e+001, +1.37835697408e+000
+1.15704300000e+003, +6.51811596948e+001, +1.44423102426e+000
+1.25095000000e+003, +6.51958878678e+001, +1.50596540681e+000
