!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:03 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +6.57458512524e+001, +1.18247818194e-001
+2.16230000000e+001, +6.61423424133e+001, +1.17129101695e-001
+2.33780000000e+001, +6.48705291494e+001, +1.22537171493e-001
+2.52760000000e+001, +6.58752484850e+001, +1.27747656313e-001
+2.73270000000e+001, +6.60680468847e+001, +1.26413933041e-001
+2.95450000000e+001, +6.63474298316e+001, +1.29982605852e-001
+3.19430000000e+001, +6.62425084693e+001, +1.30783873369e-001
+3.45350000000e+001, +6.63011414790e+001, +1.34065725162e-001
+3.73380000000e+001, +6.63199679441e+001, +1.39113789869e-001
+4.03690000000e+001, +6.63971230805e+001, +1.42517802612e-001
+4.36450000000e+001, +6.63482825858e+001, +1.49318197408e-001
+4.71880000000e+001, +6.49126864081e+001, +1.53097147974e-001
+5.10170000000e+001, +6.58584961563e+001, +1.55727413973e-001
+5.51580000000e+001, +6.62228034519e+001, +1.63358269607e-001
+5.96350000000e+001, +6.62168926830e+001, +1.68275095374e-001
+6.44750000000e+001, +6.63292801479e+001, +1.75849989067e-001
+6.97080000000e+001, +6.62985253657e+001, +1.81177501802e-001
+7.53660000000e+001, +6.63919285670e+001, +1.89649212218e-001
+8.14820000000e+001, +6.63058313398e+001, +1.97575742106e-001
+8.80960000000e+001, +6.63366498263e+001, +2.06685830172e-001
+9.52460000000e+001, +6.51178563300e+001, +2.17129956887e-001
+1.02976000000e+002, +6.56887015413e+001, +2.23541036655e-001
+1.11334000000e+002, +6.58733173295e+001, +2.32269457704e-001
+1.20370000000e+002, +6.59906945592e+001, +2.47995095339e-001
+1.30139000000e+002, +6.61302040020e+001, +2.57247794969e-001
+1.40702000000e+002, +6.61283758165e+001, +2.73882238467e-001
+1.52121000000e+002, +6.61306006816e+001, +2.91579665907e-001
+1.64468000000e+002, +6.61563010914e+001, +3.04512291933e-001
+1.77816000000e+002, +6.62329676739e+001, +3.25224113780e-001
+1.92248000000e+002, +6.53910121824e+001, +3.44900430895e-001
+2.07851000000e+002, +6.56201969674e+001, +3.62351498715e-001
+2.24721000000e+002, +6.57619764910e+001, +3.85235990870e-001
+2.42960000000e+002, +6.58993323378e+001, +4.09412398885e-001
+2.62679000000e+002, +6.59337549986e+001, +4.37501844528e-001
+2.83998000000e+002, +6.59966724023e+001, +4.64693194065e-001
+3.07048000000e+002, +6.60761140957e+001, +4.94854256976e-001
+3.31969000000e+002, +6.61176626535e+001, +5.30540135233e-001
