!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:24:01 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +4.07629033321e+007, -1.74743303621e+001
+2.16230000000e+001, +4.22227029712e+007, -2.33962459706e+001
+2.33780000000e+001, +4.32077542858e+007, -2.08447669466e+001
+2.52760000000e+001, +4.27786187597e+007, -1.84222033263e+001
+2.73270000000e+001, +4.22257059774e+007, -2.17613633917e+001
+2.95450000000e+001, +4.06902263638e+007, -1.93037980812e+001
+3.19430000000e+001, +4.10896236860e+007, -2.34351672373e+001
+3.45350000000e+001, +3.86260109317e+007, -2.22010949144e+001
+3.73380000000e+001, +3.96134625608e+007, -2.17319229708e+001
+4.03690000000e+001, +3.82595454248e+007, -2.44994714172e+001
+4.36450000000e+001, +3.64467922920e+007, -2.60171052586e+001
+4.71880000000e+001, +3.71628167060e+007, -2.88903117105e+001
+5.10170000000e+001, +3.71684212188e+007, -2.69599004308e+001
+5.51580000000e+001, +3.71667139920e+007, -3.12447988736e+001
+5.96350000000e+001, +3.63488203413e+007, -3.10177785582e+001
+6.44750000000e+001, +3.50851777103e+007, -3.31447979703e+001
+6.97080000000e+001, +3.49481985583e+007, -3.46304925648e+001
+7.53660000000e+001, +3.38629111619e+007, -3.59780924967e+001
+8.14820000000e+001, +3.44406354796e+007, -3.98696045148e+001
+8.80960000000e+001, +3.21277024294e+007, -4.10939168007e+001
+9.52460000000e+001, +3.09406687479e+007, -4.40863975096e+001
+1.02976000000e+002, +2.99174966022e+007, -4.48324227433e+001
+1.11334000000e+002, +2.83420323616e+007, -4.76002612279e+001
+1.20370000000e+002, +2.80981801592e+007, -4.88241530901e+001
+1.30139000000e+002, +2.66854250294e+007, -5.10371697412e+001
+1.40702000000e+002, +2.49330113666e+007, -5.22004580447e+001
+1.52121000000e+002, +2.40572267175e+007, -5.40694655488e+001
+1.64468000000e+002, +2.24154220941e+007, -5.65390762544e+001
+1.77816000000e+002, +2.12780008815e+007, -5.72750203107e+001
+1.92248000000e+002, +2.01395327375e+007, -5.97063501598e+001
+2.07851000000e+002, +1.89761666972e+007, -6.05124508822e+001
+2.24721000000e+002, +1.81867083579e+007, -6.24980803978e+001
+2.42960000000e+002, +1.68903374304e+007, -6.42346476900e+001
