!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:25:13 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +4.31524349503e+007, -2.35994920177e+001
+2.16230000000e+001, +3.98808210643e+007, -1.92162329823e+001
+2.33780000000e+001, +4.18944569070e+007, -1.80207312966e+001
+2.52760000000e+001, +4.07243798984e+007, -1.83846625755e+001
+2.73270000000e+001, +3.70895585563e+007, -1.83189518336e+001
+2.95450000000e+001, +3.99877704141e+007, -2.12509918285e+001
+3.19430000000e+001, +3.74308241371e+007, -1.77576759578e+001
+3.45350000000e+001, +4.05206343963e+007, -2.43119440377e+001
+3.73380000000e+001, +3.62794376591e+007, -2.33041553211e+001
+4.03690000000e+001, +3.75139536225e+007, -2.33018170930e+001
+4.36450000000e+001, +3.94870696561e+007, -2.39859762276e+001
+4.71880000000e+001, +3.64724438823e+007, -2.75319531864e+001
+5.10170000000e+001, +3.61386505042e+007, -2.82275796045e+001
+5.51580000000e+001, +3.56803304542e+007, -2.94380248765e+001
+5.96350000000e+001, +3.57692816882e+007, -3.18891856454e+001
+6.44750000000e+001, +3.47428690116e+007, -3.39714263963e+001
+6.97080000000e+001, +3.40938896110e+007, -3.38837886098e+001
+7.53660000000e+001, +3.33877872294e+007, -3.60689039619e+001
+8.14820000000e+001, +3.21608701005e+007, -3.93979864266e+001
+8.80960000000e+001, +3.25233735980e+007, -4.15338174716e+001
+9.52460000000e+001, +3.10272463617e+007, -4.32663062306e+001
+1.02976000000e+002, +2.89560589660e+007, -4.44142983190e+001
+1.11334000000e+002, +2.88522802773e+007, -4.67872903319e+001
+1.20370000000e+002, +2.75703541221e+007, -4.85454122201e+001
+1.30139000000e+002, +2.62208345435e+007, -5.07614730576e+001
+1.40702000000e+002, +2.49344798874e+007, -5.17871446475e+001
+1.52121000000e+002, +2.35741897594e+007, -5.29362200767e+001
+1.64468000000e+002, +2.25031436049e+007, -5.60126494709e+001
+1.77816000000e+002, +2.12891935681e+007, -5.84535942007e+001
+1.92248000000e+002, +1.97473388455e+007, -5.88202302036e+001
+2.07851000000e+002, +1.91165693350e+007, -6.00342624095e+001
+2.24721000000e+002, +1.79736503499e+007, -6.20249822553e+001
+2.42960000000e+002, +1.69435771644e+007, -6.34956007252e+001
+2.62679000000e+002, +1.56260392159e+007, -6.57161499987e+001
+2.83998000000e+002, +1.49645117022e+007, -6.64652452407e+001
+3.07048000000e+002, +1.38302732286e+007, -6.83547353628e+001
+3.31969000000e+002, +1.30600945360e+007, -6.95461594524e+001
+3.58912000000e+002, +1.21128461872e+007, -7.13873326437e+001
+3.88042000000e+002, +1.13887313334e+007, -7.19662014165e+001
+4.19536000000e+002, +1.05028318483e+007, -7.31425726866e+001
+4.53587000000e+002, +9.90088400233e+006, -7.41382858456e+001
+4.90401000000e+002, +9.17307976708e+006, -7.55135396712e+001
+5.30202000000e+002, +8.51697731244e+006, -7.61291772888e+001
+5.73235000000e+002, +7.90902626032e+006, -7.67017863041e+001
+6.19760000000e+002, +7.34134149120e+006, -7.71401294867e+001
+6.70061000000e+002, +6.83220810855e+006, -7.84360048958e+001
+7.24444000000e+002, +6.39205739731e+006, -7.90964652285e+001
+7.83241000000e+002, +5.91773428052e+006, -7.95219408754e+001
+8.46811000000e+002, +5.52097985723e+006, -8.03531575910e+001
+9.15539000000e+002, +5.08111940782e+006, -8.08632381162e+001
+9.89846000000e+002, +4.73309773445e+006, -8.14832074142e+001
+1.07018400000e+003, +4.39846455134e+006, -8.15587741711e+001
+1.15704300000e+003, +4.08617575291e+006, -8.23861011502e+001
+1.25095000000e+003, +3.78048216436e+006, -8.27112940436e+001
+1.35248000000e+003, +3.53275450635e+006, -8.28972185853e+001
+1.46225000000e+003, +3.26359854794e+006, -8.34839799477e+001
+1.58092900000e+003, +3.02281210795e+006, -8.35766498587e+001
+1.70924000000e+003, +2.80668987826e+006, -8.40096742183e+001
+1.84796500000e+003, +2.60528922811e+006, -8.41479395677e+001
+1.99795000000e+003, +2.41362901900e+006, -8.45828586475e+001
+2.16010800000e+003, +2.22979411632e+006, -8.50117151624e+001
+2.33542600000e+003, +2.06688395837e+006, -8.50949458644e+001
+2.52497400000e+003, +1.91486220395e+006, -8.53825077634e+001
+2.72990600000e+003, +1.77327805013e+006, -8.55622923532e+001
+2.95147000000e+003, +1.64086874287e+006, -8.60343750153e+001
+3.19101700000e+003, +1.51975383786e+006, -8.61366400370e+001
+3.45000600000e+003, +1.40876039955e+006, -8.62895137095e+001
+3.73001600000e+003, +1.30431233660e+006, -8.65841657083e+001
+4.03275100000e+003, +1.20917476999e+006, -8.67362432437e+001
+4.36005700000e+003, +1.12009325071e+006, -8.69451948857e+001
+4.71392800000e+003, +1.03539343486e+006, -8.70411674571e+001
+5.09651900000e+003, +9.59318201001e+005, -8.72377442593e+001
+5.51016300000e+003, +8.88395121526e+005, -8.72173822524e+001
+5.95737900000e+003, +8.22583099836e+005, -8.74409659493e+001
+6.44089100000e+003, +7.61114617246e+005, -8.75491527906e+001
+6.96364600000e+003, +7.04706253446e+005, -8.76804114070e+001
+7.52883000000e+003, +6.52861690439e+005, -8.77959050092e+001
+8.13988400000e+003, +6.03861791042e+005, -8.79377362912e+001
+8.80053300000e+003, +5.58652978056e+005, -8.80214337042e+001
+9.51480200000e+003, +5.17466625137e+005, -8.81403637246e+001
+1.02870420000e+004, +4.78633035046e+005, -8.82521773254e+001
+1.11219580000e+004, +4.43317896323e+005, -8.83559180326e+001
+1.20246380000e+004, +4.08276076444e+005, -8.83301324170e+001
+1.30005810000e+004, +3.78512006704e+005, -8.84411866066e+001
+1.40557340000e+004, +3.50613174130e+005, -8.85046704028e+001
+1.51965250000e+004, +3.24856008383e+005, -8.86040395745e+001
+1.64299040000e+004, +3.00759328167e+005, -8.86820540134e+001
+1.77633870000e+004, +2.78282708019e+005, -8.87765036728e+001
+1.92050990000e+004, +2.57417370987e+005, -8.88451534585e+001
+2.07638220000e+004, +2.38163783309e+005, -8.88985897764e+001
+2.24490550000e+004, +2.20425412678e+005, -8.89573176063e+001
+2.42710640000e+004, +2.03708919261e+005, -8.90214030392e+001
+2.62409510000e+004, +1.88571365744e+005, -8.90419820160e+001
+2.83707180000e+004, +1.74434916349e+005, -8.91178360360e+001
+3.06733410000e+004, +1.61382340236e+005, -8.91351705955e+001
+3.31628490000e+004, +1.49341539643e+005, -8.91940013591e+001
+3.58544110000e+004, +1.38193191596e+005, -8.92210136428e+001
+3.87644260000e+004, +1.27826947728e+005, -8.92625923787e+001
+4.19106220000e+004, +1.18244830474e+005, -8.92784989176e+001
+4.53121700000e+004, +1.09392066665e+005, -8.93167649998e+001
+4.89897950000e+004, +1.01037248502e+005, -8.93304968332e+001
+5.29659030000e+004, +9.34966615486e+004, -8.93689786333e+001
+5.72647190000e+004, +8.65462496939e+004, -8.93982108485e+001
+6.19124360000e+004, +8.00861696370e+004, -8.94298027606e+001
+6.69373700000e+004, +7.40670161859e+004, -8.94477839887e+001
+7.23701380000e+004, +6.85037171803e+004, -8.94683740277e+001
+7.82438400000e+004, +6.33709760280e+004, -8.94880330649e+001
+8.45942640000e+004, +5.86108502845e+004, -8.95092270010e+001
+9.14601000000e+004, +5.42081267122e+004, -8.95245966872e+001
+9.88831810000e+004, +5.01011042007e+004, -8.95352576259e+001
+1.06908733000e+005, +4.63623296814e+004, -8.95515784261e+001
+1.15585655000e+005, +4.28942033381e+004, -8.95659615970e+001
+1.24966813000e+005, +3.96721706300e+004, -8.95781353676e+001
+1.35109365000e+005, +3.66930288623e+004, -8.95859185608e+001
+1.46075105000e+005, +3.39318880114e+004, -8.95938250159e+001
+1.57930847000e+005, +3.13794256470e+004, -8.96053630964e+001
+1.70748824000e+005, +2.90203762824e+004, -8.96067669719e+001
+1.84607133000e+005, +2.68280926433e+004, -8.96103853483e+001
+1.99590209000e+005, +2.48178801598e+004, -8.96099911928e+001
+2.15789341000e+005, +2.29602037928e+004, -8.96176780677e+001
+2.33303227000e+005, +2.12357114941e+004, -8.96211740702e+001
+2.52238574000e+005, +1.96369640488e+004, -8.96186744888e+001
+2.72710750000e+005, +1.81577210259e+004, -8.96163601512e+001
+2.94844489000e+005, +1.67911561634e+004, -8.96085252164e+001
+3.18774645000e+005, +1.55290106129e+004, -8.95931815191e+001
+3.44647020000e+005, +1.43786984812e+004, -8.95934023648e+001
+3.72619247000e+005, +1.33171270680e+004, -8.95903815091e+001
+4.02861754000e+005, +1.23279120808e+004, -8.95849402100e+001
+4.35558803000e+005, +1.14034356162e+004, -8.95777155286e+001
+4.70909609000e+005, +1.05457403509e+004, -8.95708953594e+001
+5.09129555000e+005, +9.75044971958e+003, -8.95557948278e+001
+5.50451507000e+005, +9.01441954518e+003, -8.95394977952e+001
+5.95127229000e+005, +8.33562075385e+003, -8.95212251414e+001
